Ticker,Day-1 Price,Day-1 Change %,Day-1 Volume,Day-2 Price,Day-2 Change %,Day-2 Volume,Day-3 Price,Day-3 Change %,Day-3 Volume,Day-4 Price,Day-4 Change %,Day-4 Volume,Current Price,Current Volume,RSI,VWAP,PremarketFlag
HSAI,26.67,14.07%,7092800,26.0,11.21%,2902000,26.83,14.76%,2985600,25.77,10.22%,2006700,25.77,2006700,61.52,22.9,None
HUT,25.91,10.49%,8850400,26.35,12.37%,6086700,26.51,13.05%,4308300,26.73,13.99%,4092600,26.73,4092600,72.19,21.77,None
HYMCL,0.01,18.18%,102400,0.01,27.27%,23800,0.01,9.09%,50600,0.01,9.09%,202700,0.01,202700,57.14,0.01,None
INEO,0.97,14.12%,60300,0.96,12.94%,40800,1.25,47.06%,744700,0.98,15.29%,256100,0.98,256100,54.64,1.17,None
IONL,39.65,9.77%,128800,41.02,13.56%,133000,44.52,23.25%,131200,43.65,20.83%,55000,43.65,55000,40.86,45.28,None
IONX,55.98,10.85%,570500,57.72,14.3%,771700,62.99,24.73%,897100,61.23,21.25%,428000,61.23,428000,40.69,63.4,None
IVVD,1.03,83.93%,186776800,0.87,55.54%,22434600,0.99,76.79%,14723600,0.97,73.75%,3971200,0.97,3971200,58.19,0.93,None
KALA,9.31,6.04%,120400,9.65,9.91%,119100,10.59,20.62%,411800,11.22,27.79%,404500,11.22,404500,87.5,7.31,None
KAVL,0.97,15.85%,162800,0.89,6.2%,77800,0.89,6.32%,46500,1.0,19.19%,1207300,1.0,1207300,71.8,0.67,None
KOPN,2.2,13.99%,6573300,2.16,11.92%,3463200,2.18,12.95%,2732300,2.1,8.81%,2016900,2.1,2016900,60.75,1.95,None
KPTI,7.46,18.23%,178600,7.81,23.77%,183500,7.68,21.71%,73000,7.11,12.68%,132500,7.11,132500,76.26,4.93,None
KSCP,5.86,6.93%,461300,6.16,12.41%,814400,5.92,8.03%,449800,6.04,10.22%,228600,6.04,228600,53.96,7.12,None
LEU,208.67,12.62%,2440500,198.29,7.02%,1394600,209.38,13.01%,1529800,201.73,8.88%,1436000,201.73,1436000,43.29,205.16,None
LHAI,8.31,20.96%,1054700,8.28,20.52%,629400,8.05,17.18%,202700,8.94,30.13%,993000,8.94,993000,61.92,9.88,None
LPTH,4.92,9.33%,2648800,4.8,6.67%,1203900,5.44,20.89%,1954200,5.35,18.89%,1326900,5.35,1326900,73.74,4.15,None
LWLG,3.21,27.89%,17046200,3.6,43.43%,5594700,3.71,47.81%,3785900,3.36,33.86%,2640500,3.36,2640500,74.09,2.45,None
LXEH,1.89,9.88%,4532100,1.95,13.37%,5148000,1.98,15.12%,4419600,2.02,17.44%,3947200,2.02,3947200,56.4,1.76,None
MB,7.67,19.84%,212900,8.67,35.47%,119100,12.69,98.28%,260000,10.12,58.12%,83000,10.12,83000,41.43,7.02,None
MENS,50.2,6.81%,93700,51.2,8.94%,73200,55.52,18.13%,37900,54.81,16.62%,55500,54.81,55500,55.53,19.67,None
MGRX,1.87,12.52%,310900,1.96,17.93%,324900,2.25,35.38%,736600,2.36,42.0%,314600,2.36,314600,76.55,1.76,None
MOBX,0.94,7.55%,1380100,0.95,8.7%,462600,1.1,25.86%,7964500,1.18,35.01%,1946100,1.18,1946100,69.91,1.06,None
